# g-dedup-quarantine log — TSV: timestamp	event	group_id	old_path	new_path	reason
# run start 2026-04-28T23:49:21.170Z dryRun=false maxMoves=Infinity
2026-04-28T23:49:22.358Z	KEEPER_MISSING	86	G:\Poze\IMG-20230712-WA0045.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230712-WA0045.jpg	-
2026-04-28T23:49:22.365Z	MOVE	86	G:\Poze\1000013989.jpg	G:\Poze\.duplicates\1000013989.jpg	-
2026-04-28T23:49:22.372Z	KEEPER_MISSING	87	G:\Poze\IMG-20230712-WA0044.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230712-WA0044.jpg	-
2026-04-28T23:49:22.379Z	MOVE	87	G:\Poze\1000013142.jpg	G:\Poze\.duplicates\1000013142.jpg	-
2026-04-28T23:49:22.386Z	KEEPER_MISSING	88	G:\Poze\IMG-20230712-WA0043.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230712-WA0043.jpg	-
2026-04-28T23:49:22.394Z	MOVE	88	G:\Poze\1000015005.jpg	G:\Poze\.duplicates\1000015005.jpg	-
2026-04-28T23:49:22.400Z	KEEPER_MISSING	89	G:\Poze\IMG-20230712-WA0041.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230712-WA0041.jpg	-
2026-04-28T23:49:22.407Z	MOVE	89	G:\Poze\1000014477.jpg	G:\Poze\.duplicates\1000014477.jpg	-
2026-04-28T23:49:22.413Z	KEEPER_MISSING	90	G:\Poze\IMG-20230712-WA0040.jpg	G:\Poze\WhatsApp-by-year\2023\IMG-20230712-WA0040.jpg	-
2026-04-28T23:49:22.421Z	MOVE	90	G:\Poze\1000014338.jpg	G:\Poze\.duplicates\1000014338.jpg	-
