# g-master-dedup log — TSV: timestamp	event	group_id	old_path	new_path	reason
# run start 2026-04-29T08:48:04.906Z dryRun=false maxMoves=Infinity threshold=0
2026-04-29T08:49:08.383Z	MOVE	4563	G:\Poze\WhatsApp-by-year\2019\IMG-20190106-WA0006.jpg	G:\duplicates-to_be_deleted\Poze\WhatsApp-by-year\2019\IMG-20190106-WA0006.jpg	-
2026-04-29T08:49:08.384Z	MOVE	4563	G:\Poze\WhatsApp-by-year\2019\IMG-20190106-WA0008.jpg	G:\duplicates-to_be_deleted\Poze\WhatsApp-by-year\2019\IMG-20190106-WA0008.jpg	-
2026-04-29T08:49:08.402Z	MOVE	4563	G:\Poze\WhatsApp-by-year\2018\IMG-20180415-WA0011.jpg	G:\duplicates-to_be_deleted\Poze\WhatsApp-by-year\2018\IMG-20180415-WA0011.jpg	-
2026-04-29T08:49:08.403Z	MOVE	4563	G:\Poze\WhatsApp-by-year\2018\IMG-20180415-WA0017.jpg	G:\duplicates-to_be_deleted\Poze\WhatsApp-by-year\2018\IMG-20180415-WA0017.jpg	-
2026-04-29T08:49:08.404Z	MOVE	2911	G:\Video\WhatsApp_Images\WhatsApp Images\IMG-20230831-WA0013.jpeg	G:\duplicates-to_be_deleted\Video\WhatsApp_Images\WhatsApp Images\IMG-20230831-WA0013.jpeg	-
2026-04-29T08:49:08.406Z	MOVE	2911	G:\Video\WhatsApp_Images\WhatsApp Images\IMG-20250427-WA0015.jpeg	G:\duplicates-to_be_deleted\Video\WhatsApp_Images\WhatsApp Images\IMG-20250427-WA0015.jpeg	-
2026-04-29T08:49:08.429Z	MOVE	2911	G:\Video\WhatsApp_Images\WhatsApp Images\Sent\IMG-20240917-WA0003.jpg	G:\duplicates-to_be_deleted\Video\WhatsApp_Images\WhatsApp Images\Sent\IMG-20240917-WA0003.jpg	-
2026-04-29T08:49:08.538Z	MOVE	2911	G:\WD_EXT_HDD\D partition edy pc\FISIERE RECUPERATE\Disk1\1 NTFS\LostFiles2\D\DOCUMENTE\Poze Jacobs X2\IMG_2228.JPG	G:\duplicates-to_be_deleted\WD_EXT_HDD\D partition edy pc\FISIERE RECUPERATE\Disk1\1 NTFS\LostFiles2\D\DOCUMENTE\Poze Jacobs X2\IMG_2228.JPG	-
2026-04-29T08:49:08.539Z	MOVE	2911	G:\WD_EXT_HDD\D partition edy pc\FISIERE RECUPERATE\Disk1\1 NTFS\LostFiles2\D\DOCUMENTE\Poze Jacobs X2\IMG_2230.JPG	G:\duplicates-to_be_deleted\WD_EXT_HDD\D partition edy pc\FISIERE RECUPERATE\Disk1\1 NTFS\LostFiles2\D\DOCUMENTE\Poze Jacobs X2\IMG_2230.JPG	-
2026-04-29T08:49:08.540Z	MOVE	2911	G:\WD_EXT_HDD\D partition edy pc\FISIERE RECUPERATE\Disk1\1 NTFS\LostFiles2\D\DOCUMENTE\Poze Jacobs X2\IMG_2232.JPG	G:\duplicates-to_be_deleted\WD_EXT_HDD\D partition edy pc\FISIERE RECUPERATE\Disk1\1 NTFS\LostFiles2\D\DOCUMENTE\Poze Jacobs X2\IMG_2232.JPG	-
